Corner,vsup,temperature,l55lp_v0101.lib.scs,l55lp_v0101.lib.scs,l55lp_v0101.lib.scs,Pass/Fail,"VDC(""/net13"")"
C0_0,1.6,-55,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6249
C0_1,1.6,-50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6136
C0_2,1.6,-40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5908
C0_3,1.6,-30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.568
C0_4,1.6,-20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5452
C0_5,1.6,-10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5222
C0_6,1.6,0,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4992
C0_7,1.6,10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4761
C0_8,1.6,20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4529
C0_9,1.6,30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4297
C0_10,1.6,40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4064
C0_11,1.6,50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3831
C0_12,1.6,60,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3597
C0_13,1.6,70,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3362
C0_14,1.6,80,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3129
C0_15,1.6,90,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2893
C0_16,1.6,100,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2657
C0_17,1.8,-55,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6249
C0_18,1.8,-50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6136
C0_19,1.8,-40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.591
C0_20,1.8,-30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.568
C0_21,1.8,-20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5452
C0_22,1.8,-10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5222
C0_23,1.8,0,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4992
C0_24,1.8,10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4761
C0_25,1.8,20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4529
C0_26,1.8,30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4297
C0_27,1.8,40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4064
C0_28,1.8,50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3832
C0_29,1.8,60,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3597
C0_30,1.8,70,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3363
C0_31,1.8,80,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3129
C0_32,1.8,90,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2892
C0_33,1.8,100,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2657
C0_34,2,-55,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6249
C0_35,2,-50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6136
C0_36,2,-40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5908
C0_37,2,-30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.568
C0_38,2,-20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5452
C0_39,2,-10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5223
C0_40,2,0,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4992
C0_41,2,10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4761
C0_42,2,20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4531
C0_43,2,30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4298
C0_44,2,40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4066
C0_45,2,50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3832
C0_46,2,60,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3598
C0_47,2,70,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3363
C0_48,2,80,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3128
C0_49,2,90,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2892
C0_50,2,100,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2656
C0_51,2.2,-55,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6249
C0_52,2.2,-50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6136
C0_53,2.2,-40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5909
C0_54,2.2,-30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.568
C0_55,2.2,-20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5452
C0_56,2.2,-10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5222
C0_57,2.2,0,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4992
C0_58,2.2,10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4761
C0_59,2.2,20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.453
C0_60,2.2,30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4297
C0_61,2.2,40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4064
C0_62,2.2,50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3831
C0_63,2.2,60,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3598
C0_64,2.2,70,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3363
C0_65,2.2,80,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3128
C0_66,2.2,90,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2892
C0_67,2.2,100,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2656
C0_68,2.4,-55,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6849
C0_69,2.4,-50,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6906
C0_70,2.4,-40,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.7038
C0_71,2.4,-30,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.7206
C0_72,2.4,-20,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.7403
C0_73,2.4,-10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.7624
C0_74,2.4,0,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.7865
C0_75,2.4,10,ss_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.812
